index,productivity,quality,comparison,measure,rating,performance,evaluation,indicator,sleep_quality,quality_life,inequality,swb_measures,assessment,measurement,perception_quality,physiological_measures,performancebased,resilient_performance,performance_buildings,policy_performance
green_environments,0.09338409453630447,0.0666024461388588,0.07428307086229324,0.1205882877111435,0.11065802723169327,,0.11020917445421219,0.1107657328248024,0.09591886401176453,0.1572866141796112,0.16511908173561096,0.23061713576316833,0.11818486452102661,0.11612685769796371,0.19721722602844238,0.0993821769952774,0.10289316624403,0.11835275590419769,0.07747448235750198,0.09609458595514297
historic_environments,,0.1204526424407959,0.06151964142918587,0.19674377143383026,0.11065802723169327,,0.11020917445421219,0.1107657328248024,0.09591886401176453,0.1572866141796112,0.14568619430065155,0.23061713576316833,0.08112361282110214,0.11612685769796371,0.05794478952884674,0.0993821769952774,0.10289316624403,,,0.06892813742160797
natural_environments,0.21294371783733368,,0.17529736459255219,0.1205882877111435,0.24300552904605865,0.17387817800045013,0.11020917445421219,0.13086743652820587,0.09591886401176453,0.23696613311767578,0.14568619430065155,0.23061713576316833,0.1142667606472969,0.17496594786643982,0.11114492267370224,0.0993821769952774,0.15853901207447052,,0.1298094093799591,0.1352120041847229
green_modern,0.20715250074863434,0.07302068918943405,0.1398703008890152,0.1019853875041008,,0.07476892322301865,0.20950289070606232,0.07922741770744324,,0.08866297453641891,0.16511908173561096,,0.11818486452102661,0.10020353645086288,0.19721722602844238,0.08397897332906723,,,0.07747448235750198,0.14100436866283417
microclimate,0.12076885998249054,0.18836849927902222,0.07648135721683502,,,0.2008267194032669,,0.10429856181144714,,0.16536253690719604,,0.08347596973180771,0.14382612705230713,,0.06209024786949158,0.0993821769952774,0.07619081437587738,0.14308463037014008,0.13037525117397308,
natural_environment,0.21294371783733368,,0.10643041878938675,0.1205882877111435,0.24300552904605865,0.11059931665658951,,0.1107657328248024,,0.23696613311767578,0.14568619430065155,0.23061713576316833,0.1142667606472969,0.17496594786643982,0.08124342560768127,0.0993821769952774,0.15853901207447052,,0.1298094093799591,0.1352120041847229
exercise_environment,0.13790759444236755,0.08159725368022919,0.09969832748174667,0.1205882877111435,0.11065802723169327,,0.11020917445421219,0.18815219402313232,0.09591886401176453,0.1572866141796112,0.14568619430065155,0.23061713576316833,0.0845012292265892,0.11612685769796371,0.05794478952884674,0.1012730747461319,0.10289316624403,0.23448392748832703,,0.06892813742160797
environmental_stressors,0.11681090295314789,0.12181876599788666,0.07695651054382324,0.16705702245235443,0.11065802723169327,0.14065787196159363,0.11020917445421219,0.1107657328248024,0.09591886401176453,0.1572866141796112,0.14568619430065155,0.23061713576316833,0.08112361282110214,0.11612685769796371,0.08997464925050735,0.13801811635494232,0.22708618640899658,0.12438562512397766,0.08169754594564438,0.06970463693141937
sunlight,,,0.12002896517515182,0.18660861253738403,0.24300552904605865,0.05541687458753586,0.11020917445421219,0.05828433111310005,0.14749827980995178,0.17693771421909332,0.10928132385015488,0.0594506673514843,0.08112361282110214,0.17496594786643982,,0.1157887652516365,0.15853901207447052,0.23838642239570618,,0.1352120041847229
road_environment,0.184699147939682,,0.17409978806972504,0.1205882877111435,0.21276907622814178,,0.0843726322054863,0.1107657328248024,0.1999904364347458,0.1572866141796112,0.14568619430065155,0.23061713576316833,0.11072303354740143,0.11786963045597076,0.18483784794807434,0.0993821769952774,0.19736333191394806,0.09648097306489944,0.25019022822380066,0.10508893430233002
microclimate_environments,0.12076885998249054,0.18836849927902222,0.09255210310220718,0.1205882877111435,0.11065802723169327,0.2008267194032669,0.11020917445421219,0.17046833038330078,0.1707455813884735,0.16536253690719604,0.14568619430065155,0.23061713576316833,0.18985363841056824,0.11612685769796371,0.06209024786949158,0.0993821769952774,0.10289316624403,0.14308463037014008,0.13037525117397308,0.06892813742160797
environment_elements,0.15371596813201904,,0.0660809874534607,0.1205882877111435,0.16813457012176514,0.13747593760490417,0.11020917445421219,0.19656936824321747,0.09591886401176453,0.1572866141796112,0.14568619430065155,0.23061713576316833,0.12449377030134201,0.11612685769796371,0.05794478952884674,0.19299601018428802,0.10289316624403,0.15823113918304443,0.13458001613616943,0.11452493071556091
social_environment,,0.08786634355783463,0.06269955635070801,0.1205882877111435,0.11065802723169327,,0.11020917445421219,0.1107657328248024,0.09591886401176453,0.1572866141796112,0.14568619430065155,0.23061713576316833,0.12370925396680832,0.11612685769796371,0.1597382128238678,0.0993821769952774,0.10289316624403,0.16264747083187103,,0.06892813742160797
