index,psychological_wellbeing,wellbeing,health,well,illness,personal_well,psychological,depression,health_crisis,mental_health,mental_wellbeing,mental,impact_mental,mental_illness,poor_mental,feel_healthy,healthy,mood,mood_disturbance,subjective_well,psychological_restoration,mental_well,human_health,health_promoting,geriatric_depression,psychophysiological_wellbeing,health_promotion,social_health,emotional_well,subjective_wellbeing,residents_mental,mental_functioning,internal_well,psychology,psychological_demands,depression_anxiety,mental_hrqol,neuropsychological,hedonic_well,individual_mental,positive_mental,person_mental,mental_disorder,mental_restoration,psychological_health,psychological_well,high_depression,determinants_depression
fresh_air,,0.13640141487121582,0.07038368284702301,0.17026914656162262,,0.13019824028015137,0.09291401505470276,0.16472899913787842,0.2085520327091217,0.1794099062681198,,,0.1277174949645996,0.06610646843910217,0.17058920860290527,0.15441668033599854,,0.15110567212104797,0.1748475432395935,0.09245973825454712,0.12154345214366913,0.13901451230049133,0.13175199925899506,0.11691758781671524,,0.11693637818098068,0.2509303390979767,0.06190728396177292,0.05857468396425247,0.05514868348836899,,0.0685320794582367,,,0.1290142834186554,0.08827138692140579,0.07955806702375412,,0.08403415232896805,,0.18454785645008087,0.09181007742881775,0.11503048986196518,0.11373154819011688,,0.0917639285326004,,0.11037354916334152
air,,0.085797980427742,0.07038368284702301,,,0.09814020246267319,,0.09472641348838806,,0.1794099062681198,,,,0.06610646843910217,,0.05860767140984535,,,,,0.12154345214366913,,,,,,0.2509303390979767,,,0.05053047090768814,,0.0685320794582367,,,,,,,0.08403415232896805,,,0.05811338126659393,0.11503048986196518,0.06835553050041199,,0.0917639285326004,,
environment_characteristics,0.07850504666566849,0.17212283611297607,,0.2196604162454605,,0.13019824028015137,0.07950719445943832,0.16472899913787842,0.14640292525291443,0.22998949885368347,0.13050703704357147,0.11964070796966553,0.1277174949645996,0.14970436692237854,0.1764364242553711,0.1284351944923401,0.10117942094802856,0.10662639141082764,0.19409659504890442,0.1639443039894104,,0.06616507470607758,0.1886676847934723,0.09222850948572159,0.23326607048511505,0.08259888738393784,0.2461036741733551,0.10733115673065186,0.17330478131771088,0.13547208905220032,0.20347189903259277,0.12228946387767792,,,0.19789467751979828,0.08827138692140579,0.0957857221364975,0.13669858872890472,0.1064237430691719,0.07858607172966003,0.20644322037696838,0.18036474287509918,0.10918673127889633,0.05804484710097313,,0.17358112335205078,0.18348142504692078,0.1898621767759323
green_space,,0.09162580221891403,,0.17026914656162262,0.17003239691257477,0.13019824028015137,0.09812009334564209,0.16472899913787842,0.07741081714630127,0.07907266914844513,0.23797261714935303,0.10800565034151077,0.1277174949645996,0.11007318645715714,0.07908599078655243,0.0856858417391777,,,,0.12426097691059113,0.16996870934963226,0.11781647056341171,0.12634946405887604,0.17684732377529144,,,,0.06791143119335175,0.1345580518245697,0.10937568545341492,0.10626411437988281,0.13791106641292572,0.13090021908283234,0.09251604229211807,0.19071896374225616,0.10253916680812836,0.07581130415201187,0.15806402266025543,,0.21567264199256897,0.11444298177957535,0.31342369318008423,0.14357396960258484,0.052209652960300446,,0.12343159317970276,,
environment_relates,0.24828191101551056,0.22790534794330597,,0.18250927329063416,0.2170516401529312,0.13019824028015137,0.2490064650774002,0.16472899913787842,0.09252120554447174,0.17072220146656036,0.12826184928417206,0.07014178484678268,0.1277174949645996,0.2546444535255432,0.144349604845047,0.1284351944923401,0.15059185028076172,0.09970282763242722,0.17682139575481415,0.1639443039894104,0.14554496109485626,0.18798530101776123,0.21109385788440704,0.14838820695877075,0.23326607048511505,0.12802515923976898,0.2461036741733551,0.11589159071445465,0.17330478131771088,0.06680793315172195,,0.16922564804553986,0.1784135401248932,0.14155925810337067,0.1290142834186554,0.12057579308748245,0.26526087522506714,0.1703038066625595,,0.1689637154340744,0.2015935778617859,0.18036474287509918,0.06746910512447357,,0.097562775015831,0.1757936179637909,0.1596832424402237,0.1775122582912445
pollution,,0.0695987343788147,,0.1412682682275772,0.05894038826227188,0.14755754172801971,0.09812009334564209,0.09576334059238434,0.10199785977602005,0.05915910005569458,,0.12936535477638245,0.19300904870033264,0.11007318645715714,0.10922988504171371,0.0856858417391777,,0.05632844194769859,0.14949065446853638,0.13437171280384064,0.18882600963115692,0.19321808218955994,,0.05472767353057861,,,0.08759041130542755,0.08054821193218231,0.1422484964132309,0.10937568545341492,0.07694694399833679,0.11793407052755356,0.07280361652374268,0.09251604229211807,,0.10253916680812836,0.08127044141292572,0.15240348875522614,,0.1195889487862587,0.08130043745040894,,0.14357396960258484,0.10218382626771927,,0.12343159317970276,,0.16449449956417084
air_pollution,,0.16323727369308472,0.07038368284702301,0.1412682682275772,0.05894038826227188,0.14755754172801971,0.09812009334564209,0.09576334059238434,0.10199785977602005,0.2117760330438614,,0.12936535477638245,0.19300904870033264,0.11007318645715714,0.10922988504171371,0.09085197001695633,,0.2271086573600769,0.14949065446853638,0.13437171280384064,0.18882600963115692,0.19321808218955994,0.10511812567710876,0.05472767353057861,,0.15185584127902985,0.2509303390979767,0.08054821193218231,0.1422484964132309,0.10937568545341492,0.12810806930065155,0.11793740838766098,0.07280361652374268,0.09251604229211807,0.09170711040496826,0.10253916680812836,0.08127044141292572,0.15240348875522614,0.08403415232896805,0.1195889487862587,0.08130043745040894,0.05939203128218651,0.14357396960258484,0.10218382626771927,,0.12343159317970276,,0.16449449956417084
environmental_variables,0.0851103663444519,0.13632388412952423,0.1860208362340927,0.18250927329063416,,0.2513897120952606,0.10204480588436127,0.16472899913787842,0.15327110886573792,0.16682717204093933,0.12902478873729706,0.18931981921195984,0.1277174949645996,0.14970436692237854,0.09333817660808563,0.1284351944923401,0.2287365347146988,0.09970282763242722,0.17682139575481415,0.1639443039894104,,0.1305292397737503,0.1886676847934723,0.09222850948572159,0.23326607048511505,0.08285142481327057,0.2461036741733551,0.1594919115304947,0.17330478131771088,0.12408287078142166,0.08764754235744476,0.12228946387767792,0.09861362725496292,,0.1625145524740219,0.1733989268541336,0.08281378448009491,0.13012956082820892,0.12812019884586334,0.1983754187822342,0.2015935778617859,0.18036474287509918,0.10918673127889633,0.0828126072883606,,0.2403825968503952,0.1094127669930458,0.09586664289236069
pollution_data,,0.2199089527130127,,0.1412682682275772,0.05894038826227188,0.14755754172801971,0.13909004628658295,0.09576334059238434,0.1601548045873642,0.05915910005569458,,0.12936535477638245,0.19300904870033264,0.25545263290405273,0.10922988504171371,0.0856858417391777,0.132407546043396,0.16993552446365356,0.14949065446853638,0.13437171280384064,0.2102430909872055,0.24525195360183716,0.051803264766931534,0.10987383127212524,0.06441063433885574,,0.08759041130542755,0.08054821193218231,0.243976429104805,0.10937568545341492,0.07694694399833679,0.11793407052755356,0.07280361652374268,0.09251604229211807,0.17975617945194244,0.10253916680812836,0.19426339864730835,0.17050829529762268,0.10966291278600693,0.1195889487862587,0.10716181248426437,,0.16900670528411865,0.17795532941818237,,0.16387876868247986,0.054400231689214706,0.16449449956417084
environment_swb,0.05896684527397156,0.13632388412952423,,0.18250927329063416,,0.13019824028015137,0.07950719445943832,0.16472899913787842,0.10450633615255356,0.13039562106132507,0.12826184928417206,0.1263815313577652,0.1277174949645996,0.14970436692237854,0.07908599078655243,0.1284351944923401,0.10518322885036469,0.09970282763242722,0.17682139575481415,0.1639443039894104,,0.06663689017295837,0.18967193365097046,0.09222850948572159,0.23326607048511505,0.05368504673242569,0.2461036741733551,0.10441412031650543,0.17330478131771088,0.10965805500745773,0.11685902625322342,0.12228946387767792,0.11897703260183334,,0.1290142834186554,0.08827138692140579,0.08281378448009491,,,0.07858607172966003,0.2015935778617859,0.18036474287509918,0.06147634610533714,0.10341811925172806,0.06480474025011063,0.08293356001377106,,0.06600983440876007
