index,productivity,quality,comparison,measure,rating,performance,evaluation,indicator,sleep_quality,quality_life,inequality,swb_measures,assessment,measurement,perception_quality,physiological_measures,performancebased,resilient_performance,performance_buildings,policy_performance
impact_mental,0.0856063961982727,0.23104508221149445,0.0780397579073906,0.16705702245235443,0.11065802723169327,,,,0.12297248095273972,0.09379733353853226,0.14568619430065155,0.07844093441963196,0.10142289847135544,0.11612685769796371,0.08938488364219666,0.22351032495498657,0.22708618640899658,0.12438562512397766,0.11424269527196884,0.09899543970823288
mental_illness,0.1472478061914444,0.16972841322422028,0.08249123394489288,0.21397343277931213,0.2776755094528198,0.1366099715232849,0.11020917445421219,,0.13265709578990936,,0.15186737477779388,,0.10583991557359695,0.11612685769796371,0.22863425314426422,,0.22708618640899658,0.12438562512397766,0.06781641393899918,0.06892813742160797
poor_mental,0.1034088060259819,0.23104508221149445,,0.16705702245235443,0.20500938594341278,0.08656022697687149,,0.05544058233499527,,0.07942160964012146,0.14568619430065155,0.07844093441963196,0.1159704178571701,0.11612685769796371,,,0.22708618640899658,0.13456062972545624,,0.07702137529850006
feel_healthy,0.17012348771095276,0.09065666794776917,0.09913273900747299,0.27378204464912415,0.17718160152435303,0.15036775171756744,,,0.13445790112018585,0.05018297955393791,0.17847290635108948,,0.14104561507701874,0.15133047103881836,0.07234836369752884,0.10431910306215286,0.06258616596460342,,0.11006654798984528,0.22406400740146637
healthy,0.17012348771095276,0.09065666794776917,0.09913273900747299,0.07452673465013504,0.17338936030864716,0.15036775171756744,,,0.11888234317302704,0.05018297955393791,0.17847290635108948,,0.14104561507701874,,,,0.06258616596460342,,,0.22406400740146637
mood,,0.07613646984100342,,0.13573215901851654,0.09618523716926575,0.0956626608967781,,0.07049053907394409,,,,,,,,,,,0.05029315501451492,0.2282240241765976
mood_disturbance,0.20225979387760162,0.1254146695137024,0.10643041878938675,0.13573215901851654,0.24300552904605865,0.0956626608967781,0.1684621125459671,0.13967761397361755,0.09591886401176453,0.14207123219966888,,0.0594506673514843,0.16763339936733246,0.17496594786643982,0.10899603366851807,,0.15853901207447052,,0.10311943292617798,0.2282240241765976
subjective_well,0.10814643651247025,0.09933029115200043,0.237745001912117,0.2407154142856598,0.24300552904605865,0.2531920075416565,0.11020917445421219,0.10439642518758774,0.09591886401176453,0.3166772723197937,0.11177436262369156,0.12372373789548874,0.11478026211261749,0.17496594786643982,0.14456172287464142,0.12025336921215057,0.15853901207447052,,0.0738782212138176,0.20908784866333008
psychological_restoration,0.05593540146946907,0.23104508221149445,0.07452404499053955,0.16862963140010834,0.22926686704158783,0.12656721472740173,0.13594557344913483,0.14716017246246338,0.16093799471855164,0.11863619089126587,0.1630815863609314,0.16647471487522125,0.14475220441818237,0.19843222200870514,0.10598569363355637,0.13113097846508026,0.09524676203727722,0.06626689434051514,0.15675105154514313,0.07702137529850006
mental_well,,,0.12746793031692505,0.16705702245235443,0.13556207716464996,0.18796589970588684,0.05879012867808342,0.10439642518758774,,0.164004385471344,0.14568619430065155,,0.0676092803478241,0.22153250873088837,,,0.22708618640899658,0.12438562512397766,,0.20908784866333008
