index,physiological_measures,perception_quality,rating,quality_life,inequality,productivity,quality,policy_performance,measurement,performance_buildings,measure,comparison,evaluation,swb_measures,performancebased,resilient_performance,assessment,performance,indicator,sleep_quality
fresh_air,0.1799398958683014,0.1132966130971908,0.0846130102872848,0.1635843217372894,0.1081042140722274,0.1741213947534561,0.0714124962687492,0.2047175019979477,0.2623752057552337,,0.060274813324213,0.0615196414291858,0.1102091744542121,0.0668476447463035,,,0.0826861411333084,0.0702882930636406,,0.1129579022526741
air,,,,0.1635843217372894,,,,,,,,,,0.0668476447463035,,,0.0826861411333084,0.0702882930636406,,0.0996765345335006
environment_characteristics,0.0993821769952774,0.242716297507286,0.1243622377514839,0.1572866141796112,0.1456861943006515,0.135413572192192,0.0783038511872291,0.0689281374216079,0.148950845003128,,0.1205882877111435,0.0615196414291858,0.1102091744542121,0.2306171357631683,0.10289316624403,0.1389207243919372,0.0811236128211021,,0.1545891463756561,0.0959188640117645
green_space,0.0839789733290672,0.1972172260284423,0.0669244080781936,0.0886629745364189,0.1651190817356109,0.0933840945363044,0.2310450822114944,0.0770213752985,0.0523626394569873,0.0842351242899894,,0.0742830708622932,0.1102091744542121,0.0784409344196319,0.1318959295749664,0.1127187833189964,0.1181848645210266,,0.0817192494869232,0.0959188640117645
environment_relates,0.0993821769952774,0.1442832052707672,0.1106580272316932,0.3166292309761047,0.1456861943006515,0.0954553112387657,0.0996361970901489,0.0689281374216079,0.2057848274707794,0.198081687092781,0.1642933934926986,0.1141834557056427,0.1102091744542121,0.2306171357631683,0.1083612889051437,,0.1055512949824333,0.2077441215515136,0.1756418794393539,0.1446036398410797
pollution,0.1243526116013526,,0.2430055290460586,,,,0.2310450822114944,0.1352120041847229,0.1749659478664398,,0.1140052750706672,0.1064304187893867,0.0617207288742065,0.0784409344196319,0.1585390120744705,0.098561942577362,0.1014228984713554,0.1283953189849853,,0.1646273285150528
air_pollution,0.1286212354898452,,0.2430055290460586,0.1635843217372894,,,0.2310450822114944,0.1352120041847229,0.1749659478664398,,0.1140052750706672,0.1344934850931167,0.0617207288742065,0.0784409344196319,0.1585390120744705,0.1528969556093216,0.1014228984713554,0.1283953189849853,,0.1646273285150528
environmental_variables,0.1771337687969207,0.1357141435146331,0.1106580272316932,0.1572866141796112,0.1456861943006515,0.0859318599104881,,0.0697046369314193,0.1388130038976669,0.1281693577766418,0.1670570224523544,0.0615196414291858,0.1102091744542121,0.2306171357631683,0.2270861864089965,0.1243856251239776,0.0811236128211021,0.1849399805068969,0.1729849874973297,0.0959188640117645
pollution_data,0.1243526116013526,0.0601199977099895,0.2430055290460586,0.0862180441617965,0.0904537886381149,0.1783825755119323,0.2310450822114944,0.1563726216554641,0.2692863345146179,0.1340231597423553,0.1140052750706672,0.1653011292219162,0.0617207288742065,0.1730813682079315,0.1585390120744705,0.1310068666934967,0.1393744200468063,0.1975177824497223,,0.1646273285150528
environment_swb,0.0993821769952774,0.0579447895288467,0.1106580272316932,0.1572866141796112,0.1456861943006515,,0.2311511784791946,0.0689281374216079,0.1161268576979637,,0.1292200833559036,0.1191757023334503,0.1102091744542121,0.2306171357631683,0.10289316624403,0.2072110921144485,0.106675699353218,0.1158667057752609,0.1107657328248024,0.0959188640117645
landscape,0.1125169843435287,,0.0936629176139831,0.0831208154559135,,,0.2310450822114944,0.0770213752985,,,,0.0832546800374984,0.1102091744542121,0.0784409344196319,,0.0512426272034645,0.1014228984713554,,0.190285176038742,0.1500750035047531
greener,0.0839789733290672,0.1972172260284423,,0.0886629745364189,0.1651190817356109,0.0933840945363044,0.0666024461388588,,,0.0774744823575019,,0.0742830708622932,0.0809649005532264,,,0.0799344778060913,0.1181848645210266,,0.0792274177074432,
