index,internal_well,psychological_wellbeing,psychological_health,geriatric_depression,mental_well,determinants_depression,depression_anxiety,residents_mental,individual_mental,mental_disorder,mental_restoration,psychophysiological_wellbeing,mental_health,health_crisis,well,human_health,mood_disturbance,health,psychological_well,mood,health_promotion,mental_functioning,mental_illness,social_health,impact_mental,person_mental,subjective_well,personal_well,neuropsychological,mental_wellbeing,depression,poor_mental,emotional_well,subjective_wellbeing,psychological_restoration,wellbeing,psychological_demands,mental,high_depression,hedonic_well,feel_healthy,illness,health_promoting,psychological,mental_hrqol,psychology,positive_mental,healthy
city_center,0.2114650160074234,0.2122482508420944,0.1950072199106216,0.2141342908143997,0.0990684106945991,0.1688308864831924,0.0968833789229393,0.0794229656457901,,0.1991143971681594,0.2556394636631012,0.064279519021511,0.1463645994663238,0.1387157142162323,0.1121669933199882,0.058960236608982,,0.0907378569245338,,,0.0687833279371261,0.1417232751846313,0.0688835009932518,0.0622314922511577,0.1943558007478714,0.1142742931842804,0.0742797777056694,0.1011303886771202,0.0754096135497093,0.1512772589921951,0.1356265544891357,0.1335414946079254,,,,0.1919952630996704,,0.1310895681381225,0.0904637053608894,0.1513844281435012,0.151785522699356,0.074590653181076,0.0855137035250663,0.0623448900878429,,0.1052361875772476,,
dwell,,,0.1266354769468307,0.0750975310802459,0.148827850818634,,,0.0557903610169887,0.161264881491661,,,0.1523905992507934,0.1077361404895782,0.1048122197389602,0.2423041015863418,0.1643849611282348,0.1479168832302093,0.0590244866907596,0.0780482292175293,0.0732188299298286,,0.0581966154277324,0.1514825373888015,0.0912941917777061,,,0.1027720868587493,0.0807323455810546,0.0714174136519432,,0.1691712439060211,0.0781875327229499,0.0720184817910194,,,0.1504310965538025,,0.0961519032716751,,0.136183425784111,,,0.0582984015345573,0.1151766404509544,0.1091909408569336,,0.1768761724233627,
housing,0.0728036165237426,0.1260292083024978,,0.2209021002054214,0.1932180821895599,0.1644944995641708,0.0882713869214057,0.0590427555143833,0.0808284953236579,,0.1163051798939704,,0.1829804331064224,0.10199785977602,0.1702691465616226,,,,0.1387261748313903,,,0.0758848264813423,0.0854134783148765,0.0805482119321823,0.1277174949645996,0.0527431778609752,0.1421079337596893,0.2396816462278366,0.0659910067915916,,0.1647289991378784,0.0790859907865524,0.1440002769231796,0.1305534541606903,0.152943268418312,0.2207186967134475,0.1290142834186554,0.1293653547763824,0.1295155733823776,0.0943637862801551,,,0.0944127142429351,0.1037574559450149,0.0758113041520118,,0.1144429817795753,
suburban,0.0795297548174858,,0.2037612944841385,0.1686215996742248,0.1932180821895599,0.1644944995641708,0.1186048239469528,0.0590427555143833,0.1027687862515449,,0.1047175303101539,,,0.10199785977602,0.1702691465616226,,0.0883422568440437,,0.1301493793725967,0.1327603459358215,,0.0692459419369697,0.0609394311904907,0.0805482119321823,0.1537505537271499,0.1333899796009063,0.1498534977436065,0.1475575417280197,0.0782319754362106,0.0811022967100143,0.1647289991378784,0.139845386147499,0.1023835986852645,0.0981250181794166,0.0961681753396987,0.1008105352520942,0.1290142834186554,0.1293653547763824,0.0825557708740234,0.0530245974659919,,0.1249296590685844,0.1547834128141403,0.0667171105742454,0.0758113041520118,,0.1834612488746643,0.1414351165294647
neighborhood,,0.1109630316495895,,0.0806305408477783,,,,0.0857571884989738,0.2242670655250549,0.1196172013878822,,0.097073033452034,0.1776650249958038,,0.109784610569477,0.0594674721360206,0.1024425849318504,0.1840698570013046,,0.0903818234801292,0.1561567485332489,0.1875543147325515,0.1290977895259857,0.1531573086977005,,,0.0911849811673164,,0.0591097734868526,0.0630287155508995,0.0867941081523895,0.1864561587572097,0.0586084388196468,,,0.1072290912270546,0.0798377990722656,0.1249350756406784,0.148676261305809,0.1761628687381744,0.2296458780765533,,,,0.1041937172412872,0.1245130598545074,0.057448323816061,0.1985452771186828
apartment,0.1455970108509063,0.1281017661094665,,,0.1178164705634117,0.06600983440876,0.1025391668081283,0.1255391389131546,0.1195889487862587,0.1435739696025848,0.0580448471009731,0.1244321018457412,0.2244578450918197,0.0709168463945388,0.0561858788132667,,0.1768213957548141,0.0899700820446014,0.1234315931797027,0.0997028276324272,0.2461036741733551,0.1202634572982788,0.2026816606521606,0.1044141203165054,,0.0524684339761734,,0.0510914996266365,0.1524034887552261,0.128261849284172,0.1113042086362838,0.0914927348494529,0.1733047813177108,0.2112021446228027,0.0753229707479476,0.2637573778629303,0.12703438103199,0.1196407079696655,0.1094127669930458,0.1062613204121589,0.0856858417391777,0.0589403882622718,,0.098120093345642,0.1534729152917862,0.092516042292118,0.2015935778617859,0.064706340432167
distance_city,0.0828083753585815,0.1313878893852234,0.2251030504703521,0.2141342908143997,0.1803420633077621,0.1020933240652084,0.0968833789229393,0.0794229656457901,0.0617001354694366,0.1991143971681594,0.2556394636631012,,0.1463645994663238,0.0739605352282524,0.1702691465616226,0.0530720651149749,0.079258807003498,0.0731975138187408,0.1026854887604713,,,0.0593469925224781,0.158561423420906,0.1368681490421295,0.1277174949645996,0.1257317215204239,0.1582530289888382,0.1301982402801513,,0.1520364582538604,0.1647289991378784,0.0790859907865524,0.1091252565383911,0.0551486834883689,0.0854525938630104,0.1773617267608642,0.1290142834186554,,0.0891091898083686,,0.1736277192831039,0.1091085523366928,0.2361541539430618,0.205113410949707,0.1291934698820114,,0.1144429817795753,
citywide,0.1325819045305252,0.1313878893852234,0.1542306989431381,0.2141342908143997,0.0671650245785713,0.0791436210274696,0.0982894897460937,0.0794229656457901,,0.1991143971681594,0.2556394636631012,,0.1463645994663238,,,0.123350977897644,,0.0731975138187408,0.0656289681792259,,,,,0.0622314922511577,,0.1151961833238601,0.2037641406059265,0.061577308923006,,0.1630891263484954,0.0800574049353599,,0.1286524087190628,0.1458093374967575,0.1586267650127411,0.0799540057778358,0.1407364308834076,0.110872596502304,0.0766935870051384,,0.1674395203590393,0.1559683680534362,0.149461880326271,0.0733663067221641,,,,
urban_walking,0.0728036165237426,0.2750983238220215,0.0617673024535179,0.2209021002054214,0.1932180821895599,0.1644944995641708,,0.0590427555143833,,,0.1163051798939704,0.0978929176926612,0.1866694539785385,0.10199785977602,0.1412682682275772,,0.108114555478096,0.0638578385114669,0.2722863554954529,0.1263552010059356,0.1862107366323471,0.0758848264813423,0.0609394311904907,0.0956465080380439,0.0745782479643821,0.1062532067298889,0.1343717128038406,0.2396816462278366,0.0894219055771827,0.1848884224891662,0.0722177922725677,,0.051854733377695,0.1305534541606903,0.1523707062005996,0.2207186967134475,0.0770295858383178,0.1293653547763824,0.1295155733823776,0.2721660733222961,,0.0722951367497444,0.0547276735305786,0.1391687542200088,0.0919076278805732,,0.0813004374504089,
suburbanization,0.0795297548174858,,0.2037612944841385,0.1686215996742248,0.1932180821895599,0.1644944995641708,0.1186048239469528,0.0590427555143833,0.1027687862515449,0.1613883078098297,0.1047175303101539,0.1035573557019233,,0.10199785977602,0.1702691465616226,0.2237675189971923,0.1019390299916267,0.0828016698360443,0.1562610268592834,0.1327603459358215,0.1134342402219772,0.125363677740097,0.1481223255395889,0.0805482119321823,0.1589067280292511,0.1333899796009063,0.1498534977436065,0.1475575417280197,0.0782319754362106,0.0811022967100143,0.1647289991378784,0.139845386147499,0.1023835986852645,0.1174552291631698,0.1182650178670883,0.1008105352520942,0.2284256666898727,0.1293653547763824,0.1714809983968734,0.0530245974659919,,0.1249296590685844,0.1547834128141403,0.0867596417665481,0.0758113041520118,0.0730348080396652,0.1834612488746643,0.1414351165294647
