index,internal_well,psychological_wellbeing,psychological_health,geriatric_depression,mental_well,determinants_depression,depression_anxiety,residents_mental,individual_mental,mental_disorder,mental_restoration,psychophysiological_wellbeing,mental_health,health_crisis,well,human_health,mood_disturbance,health,psychological_well,mood,health_promotion,mental_functioning,mental_illness,social_health,impact_mental,person_mental,subjective_well,personal_well,neuropsychological,mental_wellbeing,depression,poor_mental,emotional_well,subjective_wellbeing,psychological_restoration,wellbeing,psychological_demands,mental,high_depression,hedonic_well,feel_healthy,illness,health_promoting,psychological,mental_hrqol,psychology,positive_mental,healthy
environmental_variables,0.0986136272549629,0.0851103663444519,,0.233266070485115,0.1305292397737503,0.0958666428923606,0.1733989268541336,0.0876475423574447,0.1983754187822342,0.1091867312788963,0.0828126072883606,0.0828514248132705,0.1668271720409393,0.1532711088657379,0.1825092732906341,0.1886676847934723,0.1768213957548141,0.1860208362340927,0.2403825968503952,0.0997028276324272,0.2461036741733551,0.1222894638776779,0.1497043669223785,0.1594919115304947,0.1277174949645996,0.1803647428750991,0.1639443039894104,0.2513897120952606,0.1301295608282089,0.129024788737297,0.1647289991378784,0.0933381766080856,0.1733047813177108,0.1240828707814216,,0.1363238841295242,0.1625145524740219,0.1893198192119598,0.1094127669930458,0.1281201988458633,0.1284351944923401,,0.0922285094857215,0.1020448058843612,0.0828137844800949,,0.2015935778617859,0.2287365347146988
pollution_data,0.0728036165237426,,,0.0644106343388557,0.2452519536018371,0.1644944995641708,0.1025391668081283,0.0769469439983367,0.1195889487862587,0.1690067052841186,0.1779553294181823,,0.0591591000556945,0.1601548045873642,0.1412682682275772,0.0518032647669315,0.1494906544685363,,0.1638787686824798,0.1699355244636535,0.0875904113054275,0.1179340705275535,0.2554526329040527,0.0805482119321823,0.1930090487003326,,0.1343717128038406,0.1475575417280197,0.1705082952976226,,0.0957633405923843,0.1092298850417137,0.243976429104805,0.1093756854534149,0.2102430909872055,0.2199089527130127,0.1797561794519424,0.1293653547763824,0.0544002316892147,0.1096629127860069,0.0856858417391777,0.0589403882622718,0.1098738312721252,0.1390900462865829,0.1942633986473083,0.092516042292118,0.1071618124842643,0.132407546043396
environment_swb,0.1189770326018333,0.0589668452739715,0.0648047402501106,0.233266070485115,0.0666368901729583,0.06600983440876,0.0882713869214057,0.1168590262532234,0.07858607172966,0.0614763461053371,0.103418119251728,0.0536850467324256,0.130395621061325,0.1045063361525535,0.1825092732906341,0.1896719336509704,0.1768213957548141,,0.082933560013771,0.0997028276324272,0.2461036741733551,0.1222894638776779,0.1497043669223785,0.1044141203165054,0.1277174949645996,0.1803647428750991,0.1639443039894104,0.1301982402801513,,0.128261849284172,0.1647289991378784,0.0790859907865524,0.1733047813177108,0.1096580550074577,,0.1363238841295242,0.1290142834186554,0.1263815313577652,,,0.1284351944923401,,0.0922285094857215,0.0795071944594383,0.0828137844800949,,0.2015935778617859,0.1051832288503646
landscape,,,0.0738207697868347,,0.1178164705634117,,0.1025391668081283,0.0769469439983367,0.1195889487862587,0.1435739696025848,,,0.1542875468730926,0.1877625882625579,0.1702691465616226,0.0740926340222358,0.0641169250011444,0.1045693159103393,0.1251123994588852,0.0534299872815609,0.1043914481997489,0.1179340705275535,0.1576472818851471,0.0714291259646415,0.1277174949645996,,0.0966166779398918,0.1301982402801513,0.1524034887552261,0.1189467906951904,0.1647289991378784,0.0790859907865524,0.1345580518245697,0.1093756854534149,,0.091625802218914,0.1290142834186554,0.1080056503415107,0.058188360184431,0.2049669772386551,0.0856858417391777,0.0589403882622718,0.1115078330039978,0.098120093345642,0.0758113041520118,0.092516042292118,0.1144429817795753,0.1764408349990844
greener,0.1309002190828323,,,,0.05514507740736,0.0610190704464912,,0.1146376579999923,0.208980455994606,,,0.1383107900619506,0.1011111438274383,,0.0612106770277023,,0.0860925912857055,0.0895982459187507,,,0.1105253547430038,,,,0.1014762222766876,0.1816436201333999,0.0672695413231849,,0.0559632070362567,0.237972617149353,0.1897559612989425,0.0683920532464981,,,,0.0797621011734008,0.1907189637422561,,,0.0515357069671154,,0.1700323969125747,0.1768473237752914,,,,,
green_infrastructure,0.1309002190828323,0.0634610950946807,,,0.1932180821895599,0.1644944995641708,0.0882713869214057,0.1062641143798828,0.0931985005736351,0.0602850876748561,0.1021838262677192,0.1887008845806121,0.0864104852080345,0.2491998225450515,0.1702691465616226,0.1407844722270965,0.1146320551633834,0.1459046602249145,0.1993420571088791,0.1959425061941146,0.0520750731229782,0.1577147096395492,0.1180591285228729,0.1225593537092208,0.1277174949645996,0.1816436201333999,0.2393896132707595,0.1475575417280197,0.1196827888488769,0.237972617149353,0.1647289991378784,0.1496795564889907,,0.0551486834883689,0.0969341620802879,0.091625802218914,0.1907189637422561,0.1293653547763824,0.0535497106611728,0.0529766231775283,0.0772414579987526,0.1700323969125747,0.1768473237752914,0.2305003404617309,0.0758113041520118,0.0559956468641757,0.1144429817795753,0.0616578496992588
green_interventions,0.1746499836444854,,0.113538734614849,0.0629524290561676,0.1625516563653946,0.1021179258823394,0.0882713869214057,0.1062641143798828,0.129981592297554,0.1634743511676788,0.1057019606232643,0.172217845916748,0.1010132208466529,0.1183906197547912,0.1702691465616226,0.0892623364925384,,,0.1037575006484985,0.1340948641300201,0.1008773669600486,0.075134091079235,,0.0619072839617729,0.1277174949645996,0.1816436201333999,0.0614854246377944,0.1301982402801513,,0.237972617149353,0.1647289991378784,0.1648561358451843,0.2060437798500061,0.0551486834883689,0.1673380434513092,0.1478610336780548,0.1907189637422561,0.1382052898406982,0.1235854104161262,,0.1385454982519149,0.1700323969125747,0.1768473237752914,0.256809651851654,0.1839943081140518,,0.1225379630923271,0.0933464244008064
green_spaces,0.1309002190828323,,0.2094276994466781,,0.1388609856367111,,0.1193615421652793,0.1744069308042526,0.2156726419925689,0.1435739696025848,0.0522096529603004,,0.0790726691484451,0.0774108171463012,0.1702691465616226,0.126349464058876,,0.06126294657588,0.1234315931797027,0.1219880208373069,,0.1379110664129257,0.1100731864571571,0.1632548719644546,0.1277174949645996,0.3134236931800842,0.1432461142539978,0.1301982402801513,0.1580640226602554,0.237972617149353,0.1647289991378784,0.1300893723964691,0.1345580518245697,0.1093756854534149,0.1699687093496322,0.091625802218914,0.1907189637422561,0.1080056503415107,,0.1846030205488205,0.0856858417391777,0.2026700526475906,0.1768473237752914,0.1836940348148346,0.0758113041520118,0.1944092363119125,0.1144429817795753,
impact_green,0.1309002190828323,,,0.1308541595935821,0.1178164705634117,,0.1025391668081283,0.1156837120652198,0.1488211303949356,0.1435739696025848,0.067425787448883,0.0968378707766532,0.2299894988536834,0.1464029252529144,0.0561858788132667,,0.1363320499658584,0.2284703701734542,0.1829033344984054,0.1066263914108276,,0.1434658914804458,0.1100731864571571,0.1073311567306518,0.1014762222766876,0.1816436201333999,0.1821731925010681,0.1136941164731979,0.1524034887552261,0.237972617149353,0.0957633405923843,0.0806291475892067,0.1438209116458892,0.1093756854534149,0.1328152120113372,0.1471211314201355,0.1907189637422561,0.1094091385602951,0.1834814250469207,0.0910615548491478,0.0856858417391777,0.1700323969125747,0.1768473237752914,0.098120093345642,0.1751185059547424,0.092516042292118,0.2064432203769683,0.0913337469100952
vegetation,0.1653783917427063,,,0.0950894281268119,,,,,0.1860652863979339,,,,0.070468857884407,0.0501782372593879,0.0777718126773834,0.1043118461966514,0.1380735486745834,0.1770422607660293,0.1207486540079116,0.1246626898646354,,,0.1332614123821258,,,,,0.1430886834859848,,,0.1301795393228531,,0.1542482674121856,0.0700428113341331,0.1591814011335373,,0.0854913145303726,0.083209179341793,,0.1090647280216217,,,0.1384964734315872,,,,,
